Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Bomb Damage Assessment,Source ID,id,start_week
131196,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,EL DABA FRONT LINES,NA,NA,NA,30.75,28.68,102,6,6,6,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1496,1942-10-19
131197,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,MT CONCENTRATION,NA,NA,NA,30.8,28.62,94,6,6,6,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1497,1942-10-19
131198,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,MT AND TENT AREA,NA,NA,NA,30.95,28.58,90,6,6,6,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1498,1942-10-19
131199,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,EL DABA FRONT LINES,NA,NA,NA,30.78,28.65,90,6,6,6,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1499,1942-10-19
131200,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,EL DABA FRONT LINES,NA,NA,NA,30.84,28.67,87,6,6,6,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1500,1942-10-19
131501,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,EL DABA FRONT LINES,NA,NA,NA,30.84,28.67,87,6,6,6,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1501,1942-10-19
131502,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,LG 104,NA,NA,NA,31.03,28.27,85,6,6,6,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1502,1942-10-19
131503,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,EL DABA COMM NERVE CENTER  (GRID 86783003),NA,NA,NA,30.89,28.76,80,6,6,6,NA,NA,NA,NA,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1503,1942-10-19
131504,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,EL DABA FRONT LINES,NA,NA,NA,30.81,28.65,80,6,6,6,NA,NA,6,NA,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1504,1942-10-19
131505,1942-10-22,MTO,USA,9 AF,12 BG,B25,NA,NA,LG 88,EGYPT,30.98472222,29.85138889,NA,EGYPT,EL DABA FRONT LINES,NA,NA,NA,30.98,28.69,80,7,6,6,NA,NA,NA,2,NA,250 LB GP (GP-M57),NA,6,NA,NA,NA,0,NA,NA,NA,0,NA,6,NA,NA,1505,1942-10-19
